,SPY,IWM,VTV,VUG,MTUM,USMV,QUAL,VYM,SPHQ,VLUE,PDP
2016-02-29,193.5599975585938,102.7300033569336,77.72000122070312,99.5999984741211,69.5999984741211,41.66999816894531,61.95999908447266,65.19999694824219,23.1200008392334,57.86999893188477,38.7400016784668
2016-03-01,198.1100006103516,104.9400024414062,79.43000030517578,102.3600006103516,71.19999694824219,42.31000137329102,63.36000061035156,66.5,23.55999946594238,59.02999877929688,39.70000076293945
2016-03-02,199.0,106.0199966430664,80.08000183105469,102.3000030517578,71.05999755859375,42.43999862670898,63.47000122070312,67.0,23.57999992370605,59.47999954223633,39.70999908447266
2016-03-03,199.7799987792969,107.129997253418,80.5,102.629997253418,71.01000213623047,42.52000045776367,63.54999923706055,67.2699966430664,23.69000053405762,59.93000030517578,39.79000091552734
2016-03-04,200.4299926757812,107.7200012207031,80.80999755859375,102.8600006103516,70.91000366210938,42.61000061035156,63.68999862670898,67.52999877929688,23.78000068664551,60.11000061035156,39.86000061035156
2016-03-07,200.5899963378906,108.8899993896484,81.0999984741211,102.6500015258789,70.16000366210938,42.59000015258789,63.72999954223633,67.83000183105469,23.79999923706055,60.61999893188477,39.72000122070312
2016-03-08,198.3999938964844,106.2600021362305,80.16000366210938,101.5800018310547,69.9000015258789,42.45000076293945,63.31000137329102,67.26000213623047,23.69000053405762,59.40999984741211,39.40000152587891
2016-03-09,199.3800048828125,106.8000030517578,80.61000061035156,101.9700012207031,70.25,42.59000015258789,63.43000030517578,67.69000244140625,23.73999977111816,59.9900016784668,39.40000152587891
2016-03-10,199.5399932861328,105.9300003051758,80.61000061035156,102.0199966430664,70.33000183105469,42.65000152587891,63.47999954223633,67.66999816894531,23.73999977111816,60.15999984741211,39.41999816894531
2016-03-11,202.7599945068359,108.1999969482422,81.88999938964844,103.8499984741211,71.44999694824219,43.15000152587891,64.38999938964844,68.48999786376953,24.04999923706055,61.33000183105469,40.04000091552734
2016-03-14,202.5,107.9199981689453,81.68000030517578,103.9199981689453,71.5999984741211,43.15999984741211,64.37999725341797,68.33000183105469,24.02000045776367,61.09999847412109,40.0
2016-03-15,202.1699981689453,106.2399978637695,81.44999694824219,103.7699966430664,71.55999755859375,43.13999938964844,64.44999694824219,67.73999786376953,23.98999977111816,60.7400016784668,39.86999893188477
2016-03-16,203.3399963378906,106.9899978637695,81.86000061035156,104.4899978637695,71.94999694824219,43.34999847412109,64.73999786376953,68.11000061035156,24.1299991607666,61.22000122070312,40.09999847412109
2016-03-17,204.6300048828125,108.629997253418,82.5199966430664,105.0,71.91000366210938,43.59999847412109,65.25,68.73999786376953,24.42000007629395,61.59000015258789,40.29999923706055
2016-03-18,204.3800048828125,109.6100006103516,82.88999938964844,105.4300003051758,72.05000305175781,43.68000030517578,65.4000015258789,68.87999725341797,24.47999954223633,62.09999847412109,40.43000030517578
2016-03-21,204.6699981689453,109.3499984741211,82.41000366210938,105.2900009155273,72.18000030517578,43.63999938964844,65.54000091552734,68.91999816894531,24.51000022888184,62.15999984741211,40.38000106811523
2016-03-22,204.5599975585938,109.2200012207031,82.29000091552734,105.379997253418,72.20999908447266,43.56999969482422,65.51000213623047,68.81999969482422,24.46999931335449,62.09000015258789,40.4900016784668
2016-03-23,203.2100067138672,106.879997253418,81.70999908447266,104.6900024414062,71.93000030517578,43.29000091552734,64.87999725341797,68.41000366210938,24.31999969482422,60.83000183105469,40.13999938964844
2016-03-24,203.1199951171875,107.1999969482422,81.66000366210938,104.7200012207031,71.91000366210938,43.29000091552734,64.80000305175781,68.41999816894531,24.29999923706055,60.7400016784668,40.04999923706055
2016-03-28,203.2400054931641,107.3300018310547,81.69000244140625,104.8000030517578,72.12000274658203,43.38999938964844,64.88999938964844,68.43000030517578,24.36000061035156,60.79000091552734,40.11000061035156
2016-03-29,205.1199951171875,110.3099975585938,82.22000122070312,106.1600036621094,72.94000244140625,43.90999984741211,65.45999908447266,68.95999908447266,24.54999923706055,61.2400016784668,40.68000030517578
2016-03-30,206.0200042724609,110.3199996948242,82.52999877929688,106.5699996948242,73.30000305175781,43.9900016784668,65.79000091552734,69.19999694824219,24.6200008392334,61.5,40.83000183105469
2016-03-31,205.5200042724609,110.629997253418,82.38999938964844,106.4499969482422,73.0999984741211,43.93000030517578,65.62000274658203,69.04000091552734,24.60000038146973,61.34999847412109,40.77999877929688
2016-04-01,206.9199981689453,111.120002746582,82.76000213623047,107.3300018310547,73.9000015258789,44.29999923706055,66.12000274658203,69.3499984741211,24.80999946594238,61.43000030517578,41.18999862670898
